"","Combination.label","First.ad","Second.ad","Third.ad","Fourth.ad","Probability.of.combination","Ordered.combination","row"
"818","c411","H3N4_T","H2N1_T","H4N2_T","H1N3_T","P(c411 | G=T)=1/576","H3N4_T, H2N1_T, H4N2_T, H1N3_T",703
"443","c269","H2N4_T","H3N2_T","H1N1_T","H4N3_T","P(c269 | G=T)=1/576","H2N4_T, H3N2_T, H1N1_T, H4N3_T",704
"71","c125","H1N4_T","H3N2_T","H2N1_T","H4N3_T","P(c125 | G=T)=1/576","H1N4_T, H3N2_T, H2N1_T, H4N3_T",705
"1245","c68","H1N2_T","H4N3_T","H3N4_T","H2N1_T","P(c68 | G=T)=1/576","H1N2_T, H4N3_T, H3N4_T, H2N1_T",706
"376","c237","H2N3_T","H3N4_T","H1N1_T","H4N2_T","P(c237 | G=T)=1/576","H2N3_T, H3N4_T, H1N1_T, H4N2_T",707
"713","c369","H3N3_T","H1N4_T","H2N1_T","H4N2_T","P(c369 | G=T)=1/576","H3N3_T, H1N4_T, H2N1_T, H4N2_T",708
"606","c33","H1N1_T","H4N4_T","H2N2_T","H3N3_T","P(c33 | G=T)=1/576","H1N1_T, H4N4_T, H2N2_T, H3N3_T",709
"601","c328","H3N2_T","H1N1_T","H4N4_T","H2N3_T","P(c328 | G=T)=1/576","H3N2_T, H1N1_T, H4N4_T, H2N3_T",710
"808","c408","H3N4_T","H1N3_T","H4N2_T","H2N1_T","P(c408 | G=T)=1/576","H3N4_T, H1N3_T, H4N2_T, H2N1_T",711
"1169","c563","H4N4_T","H2N3_T","H3N1_T","H1N2_T","P(c563 | G=T)=1/576","H4N4_T, H2N3_T, H3N1_T, H1N2_T",712
"1166","c560","H4N4_T","H2N2_T","H3N3_T","H1N1_T","P(c560 | G=T)=1/576","H4N4_T, H2N2_T, H3N3_T, H1N1_T",713
"1247","c68","H1N2_T","H4N3_T","H3N4_T","H2N1_T","P(c68 | G=T)=1/576","H1N2_T, H4N3_T, H3N4_T, H2N1_T",714
"34","c110","H1N4_T","H2N1_T","H3N3_T","H4N2_T","P(c110 | G=T)=1/576","H1N4_T, H2N1_T, H3N3_T, H4N2_T",715
"22","c108","H1N3_T","H4N4_T","H3N2_T","H2N1_T","P(c108 | G=T)=1/576","H1N3_T, H4N4_T, H3N2_T, H2N1_T",716
"429","c263","H2N4_T","H1N3_T","H4N1_T","H3N2_T","P(c263 | G=T)=1/576","H2N4_T, H1N3_T, H4N1_T, H3N2_T",717
"60","c118","H1N4_T","H2N3_T","H3N2_T","H4N1_T","P(c118 | G=T)=1/576","H1N4_T, H2N3_T, H3N2_T, H4N1_T",718
"1168","c562","H4N4_T","H2N3_T","H1N2_T","H3N1_T","P(c562 | G=T)=1/576","H4N4_T, H2N3_T, H1N2_T, H3N1_T",719
"1213","c58","H1N2_T","H3N4_T","H2N3_T","H4N1_T","P(c58 | G=T)=1/576","H1N2_T, H3N4_T, H2N3_T, H4N1_T",720
"962","c476","H4N2_T","H1N3_T","H3N4_T","H2N1_T","P(c476 | G=T)=1/576","H4N2_T, H1N3_T, H3N4_T, H2N1_T",721
"1217","c59","H1N2_T","H3N4_T","H4N1_T","H2N3_T","P(c59 | G=T)=1/576","H1N2_T, H3N4_T, H4N1_T, H2N3_T",722
"1164","c560","H4N4_T","H2N2_T","H3N3_T","H1N1_T","P(c560 | G=T)=1/576","H4N4_T, H2N2_T, H3N3_T, H1N1_T",723
"789","c4","H1N1_T","H2N2_T","H4N4_T","H3N3_T","P(c4 | G=T)=1/576","H1N1_T, H2N2_T, H4N4_T, H3N3_T",724
"488","c287","H2N4_T","H4N3_T","H3N1_T","H1N2_T","P(c287 | G=T)=1/576","H2N4_T, H4N3_T, H3N1_T, H1N2_T",725
"1187","c568","H4N4_T","H3N1_T","H2N3_T","H1N2_T","P(c568 | G=T)=1/576","H4N4_T, H3N1_T, H2N3_T, H1N2_T",726
"416","c254","H2N4_T","H1N1_T","H3N3_T","H4N2_T","P(c254 | G=T)=1/576","H2N4_T, H1N1_T, H3N3_T, H4N2_T",727
"276","c198","H2N2_T","H3N3_T","H1N4_T","H4N1_T","P(c198 | G=T)=1/576","H2N2_T, H3N3_T, H1N4_T, H4N1_T",728
"208","c176","H2N1_T","H4N3_T","H3N4_T","H1N2_T","P(c176 | G=T)=1/576","H2N1_T, H4N3_T, H3N4_T, H1N2_T",729
"1190","c569","H4N4_T","H3N2_T","H1N1_T","H2N3_T","P(c569 | G=T)=1/576","H4N4_T, H3N2_T, H1N1_T, H2N3_T",730
"1093","c533","H4N3_T","H3N2_T","H1N1_T","H2N4_T","P(c533 | G=T)=1/576","H4N3_T, H3N2_T, H1N1_T, H2N4_T",731
"1283","c8","H1N1_T","H2N3_T","H4N4_T","H3N2_T","P(c8 | G=T)=1/576","H1N1_T, H2N3_T, H4N4_T, H3N2_T",732
"1215","c58","H1N2_T","H3N4_T","H2N3_T","H4N1_T","P(c58 | G=T)=1/576","H1N2_T, H3N4_T, H2N3_T, H4N1_T",733
"558","c312","H3N1_T","H2N4_T","H4N3_T","H1N2_T","P(c312 | G=T)=1/576","H3N1_T, H2N4_T, H4N3_T, H1N2_T",734
"677","c358","H3N2_T","H4N4_T","H1N3_T","H2N1_T","P(c358 | G=T)=1/576","H3N2_T, H4N4_T, H1N3_T, H2N1_T",735
"917","c458","H4N1_T","H3N2_T","H1N4_T","H2N3_T","P(c458 | G=T)=1/576","H4N1_T, H3N2_T, H1N4_T, H2N3_T",736
"466","c278","H2N4_T","H4N1_T","H1N3_T","H3N2_T","P(c278 | G=T)=1/576","H2N4_T, H4N1_T, H1N3_T, H3N2_T",737
"940","c465","H4N1_T","H3N4_T","H1N2_T","H2N3_T","P(c465 | G=T)=1/576","H4N1_T, H3N4_T, H1N2_T, H2N3_T",738
"1191","c569","H4N4_T","H3N2_T","H1N1_T","H2N3_T","P(c569 | G=T)=1/576","H4N4_T, H3N2_T, H1N1_T, H2N3_T",739
"1101","c535","H4N3_T","H3N2_T","H2N1_T","H1N4_T","P(c535 | G=T)=1/576","H4N3_T, H3N2_T, H2N1_T, H1N4_T",740
"161","c157","H2N1_T","H3N2_T","H1N3_T","H4N4_T","P(c157 | G=T)=1/576","H2N1_T, H3N2_T, H1N3_T, H4N4_T",741
"1193","c57","H1N2_T","H3N4_T","H2N1_T","H4N3_T","P(c57 | G=T)=1/576","H1N2_T, H3N4_T, H2N1_T, H4N3_T",742
"738","c38","H1N2_T","H2N1_T","H3N4_T","H4N3_T","P(c38 | G=T)=1/576","H1N2_T, H2N1_T, H3N4_T, H4N3_T",743
"25","c108","H1N3_T","H4N4_T","H3N2_T","H2N1_T","P(c108 | G=T)=1/576","H1N3_T, H4N4_T, H3N2_T, H2N1_T",744
"635","c341","H3N2_T","H2N3_T","H1N1_T","H4N4_T","P(c341 | G=T)=1/576","H3N2_T, H2N3_T, H1N1_T, H4N4_T",745
"1","c1","H1N1_T","H2N2_T","H3N3_T","H4N4_T","P(c1 | G=T)=1/576","H1N1_T, H2N2_T, H3N3_T, H4N4_T",746
"471","c279","H2N4_T","H4N1_T","H3N2_T","H1N3_T","P(c279 | G=T)=1/576","H2N4_T, H4N1_T, H3N2_T, H1N3_T",747
"729","c378","H3N3_T","H2N2_T","H1N4_T","H4N1_T","P(c378 | G=T)=1/576","H3N3_T, H2N2_T, H1N4_T, H4N1_T",748
"50","c116","H1N4_T","H2N2_T","H4N3_T","H3N1_T","P(c116 | G=T)=1/576","H1N4_T, H2N2_T, H4N3_T, H3N1_T",749
"749","c383","H3N3_T","H2N4_T","H4N1_T","H1N2_T","P(c383 | G=T)=1/576","H3N3_T, H2N4_T, H4N1_T, H1N2_T",750
"575","c319","H3N1_T","H4N3_T","H2N2_T","H1N4_T","P(c319 | G=T)=1/576","H3N1_T, H4N3_T, H2N2_T, H1N4_T",751
"850","c429","H3N4_T","H4N3_T","H1N1_T","H2N2_T","P(c429 | G=T)=1/576","H3N4_T, H4N3_T, H1N1_T, H2N2_T",752
"344","c226","H2N3_T","H1N4_T","H3N2_T","H4N1_T","P(c226 | G=T)=1/576","H2N3_T, H1N4_T, H3N2_T, H4N1_T",753
"979","c482","H4N2_T","H2N1_T","H1N4_T","H3N3_T","P(c482 | G=T)=1/576","H4N2_T, H2N1_T, H1N4_T, H3N3_T",754
"119","c144","H1N4_T","H4N3_T","H3N2_T","H2N1_T","P(c144 | G=T)=1/576","H1N4_T, H4N3_T, H3N2_T, H2N1_T",755
"1049","c511","H4N3_T","H1N2_T","H3N1_T","H2N4_T","P(c511 | G=T)=1/576","H4N3_T, H1N2_T, H3N1_T, H2N4_T",756
"788","c399","H3N4_T","H1N1_T","H4N2_T","H2N3_T","P(c399 | G=T)=1/576","H3N4_T, H1N1_T, H4N2_T, H2N3_T",757
"1078","c528","H4N3_T","H2N4_T","H3N2_T","H1N1_T","P(c528 | G=T)=1/576","H4N3_T, H2N4_T, H3N2_T, H1N1_T",758
"313","c214","H2N2_T","H4N4_T","H1N3_T","H3N1_T","P(c214 | G=T)=1/576","H2N2_T, H4N4_T, H1N3_T, H3N1_T",759
"674","c355","H3N2_T","H4N3_T","H2N1_T","H1N4_T","P(c355 | G=T)=1/576","H3N2_T, H4N3_T, H2N1_T, H1N4_T",760
"289","c20","H1N1_T","H3N3_T","H4N4_T","H2N2_T","P(c20 | G=T)=1/576","H1N1_T, H3N3_T, H4N4_T, H2N2_T",761
"724","c374","H3N3_T","H2N1_T","H1N4_T","H4N2_T","P(c374 | G=T)=1/576","H3N3_T, H2N1_T, H1N4_T, H4N2_T",762
"535","c3","H1N1_T","H2N2_T","H4N3_T","H3N4_T","P(c3 | G=T)=1/576","H1N1_T, H2N2_T, H4N3_T, H3N4_T",763
"622","c333","H3N2_T","H1N4_T","H2N1_T","H4N3_T","P(c333 | G=T)=1/576","H3N2_T, H1N4_T, H2N1_T, H4N3_T",764
"175","c162","H2N1_T","H3N3_T","H1N4_T","H4N2_T","P(c162 | G=T)=1/576","H2N1_T, H3N3_T, H1N4_T, H4N2_T",765
"664","c352","H3N2_T","H4N1_T","H2N4_T","H1N3_T","P(c352 | G=T)=1/576","H3N2_T, H4N1_T, H2N4_T, H1N3_T",766
"1095","c534","H4N3_T","H3N2_T","H1N4_T","H2N1_T","P(c534 | G=T)=1/576","H4N3_T, H3N2_T, H1N4_T, H2N1_T",767
"615","c331","H3N2_T","H1N3_T","H4N1_T","H2N4_T","P(c331 | G=T)=1/576","H3N2_T, H1N3_T, H4N1_T, H2N4_T",768
"928","c461","H4N1_T","H3N3_T","H1N2_T","H2N4_T","P(c461 | G=T)=1/576","H4N1_T, H3N3_T, H1N2_T, H2N4_T",769
"202","c174","H2N1_T","H4N3_T","H1N4_T","H3N2_T","P(c174 | G=T)=1/576","H2N1_T, H4N3_T, H1N4_T, H3N2_T",770
"1050","c512","H4N3_T","H1N2_T","H3N4_T","H2N1_T","P(c512 | G=T)=1/576","H4N3_T, H1N2_T, H3N4_T, H2N1_T",771
"1006","c493","H4N2_T","H3N1_T","H1N3_T","H2N4_T","P(c493 | G=T)=1/576","H4N2_T, H3N1_T, H1N3_T, H2N4_T",772
"986","c483","H4N2_T","H2N1_T","H3N3_T","H1N4_T","P(c483 | G=T)=1/576","H4N2_T, H2N1_T, H3N3_T, H1N4_T",773
"827","c42","H1N2_T","H2N3_T","H3N4_T","H4N1_T","P(c42 | G=T)=1/576","H1N2_T, H2N3_T, H3N4_T, H4N1_T",774
"685","c360","H3N2_T","H4N4_T","H2N3_T","H1N1_T","P(c360 | G=T)=1/576","H3N2_T, H4N4_T, H2N3_T, H1N1_T",775
"520","c295","H3N1_T","H1N3_T","H4N2_T","H2N4_T","P(c295 | G=T)=1/576","H3N1_T, H1N3_T, H4N2_T, H2N4_T",776
"737","c38","H1N2_T","H2N1_T","H3N4_T","H4N3_T","P(c38 | G=T)=1/576","H1N2_T, H2N1_T, H3N4_T, H4N3_T",777
"88","c130","H1N4_T","H3N3_T","H2N2_T","H4N1_T","P(c130 | G=T)=1/576","H1N4_T, H3N3_T, H2N2_T, H4N1_T",778
"625","c335","H3N2_T","H1N4_T","H4N1_T","H2N3_T","P(c335 | G=T)=1/576","H3N2_T, H1N4_T, H4N1_T, H2N3_T",779
"304","c209","H2N2_T","H4N3_T","H1N1_T","H3N4_T","P(c209 | G=T)=1/576","H2N2_T, H4N3_T, H1N1_T, H3N4_T",780
"1129","c545","H4N4_T","H1N2_T","H2N1_T","H3N3_T","P(c545 | G=T)=1/576","H4N4_T, H1N2_T, H2N1_T, H3N3_T",781
"607","c33","H1N1_T","H4N4_T","H2N2_T","H3N3_T","P(c33 | G=T)=1/576","H1N1_T, H4N4_T, H2N2_T, H3N3_T",782
"2","c1","H1N1_T","H2N2_T","H3N3_T","H4N4_T","P(c1 | G=T)=1/576","H1N1_T, H2N2_T, H3N3_T, H4N4_T",783
"190","c168","H2N1_T","H3N4_T","H4N3_T","H1N2_T","P(c168 | G=T)=1/576","H2N1_T, H3N4_T, H4N3_T, H1N2_T",784
"76","c126","H1N4_T","H3N2_T","H2N3_T","H4N1_T","P(c126 | G=T)=1/576","H1N4_T, H3N2_T, H2N3_T, H4N1_T",785
"782","c397","H3N4_T","H1N1_T","H2N2_T","H4N3_T","P(c397 | G=T)=1/576","H3N4_T, H1N1_T, H2N2_T, H4N3_T",786
"1019","c499","H4N2_T","H3N3_T","H2N1_T","H1N4_T","P(c499 | G=T)=1/576","H4N2_T, H3N3_T, H2N1_T, H1N4_T",787
"229","c18","H1N1_T","H3N3_T","H2N4_T","H4N2_T","P(c18 | G=T)=1/576","H1N1_T, H3N3_T, H2N4_T, H4N2_T",788
"802","c405","H3N4_T","H1N3_T","H2N1_T","H4N2_T","P(c405 | G=T)=1/576","H3N4_T, H1N3_T, H2N1_T, H4N2_T",789
"1316","c97","H1N3_T","H4N1_T","H2N2_T","H3N4_T","P(c97 | G=T)=1/576","H1N3_T, H4N1_T, H2N2_T, H3N4_T",790
"910","c453","H4N1_T","H2N4_T","H1N2_T","H3N3_T","P(c453 | G=T)=1/576","H4N1_T, H2N4_T, H1N2_T, H3N3_T",791
"1294","c85","H1N3_T","H3N1_T","H2N2_T","H4N4_T","P(c85 | G=T)=1/576","H1N3_T, H3N1_T, H2N2_T, H4N4_T",792
"769","c390","H3N3_T","H4N2_T","H1N4_T","H2N1_T","P(c390 | G=T)=1/576","H3N3_T, H4N2_T, H1N4_T, H2N1_T",793
"539","c300","H3N1_T","H1N4_T","H4N3_T","H2N2_T","P(c300 | G=T)=1/576","H3N1_T, H1N4_T, H4N3_T, H2N2_T",794
"805","c407","H3N4_T","H1N3_T","H4N1_T","H2N2_T","P(c407 | G=T)=1/576","H3N4_T, H1N3_T, H4N1_T, H2N2_T",795
"150","c153","H2N1_T","H1N4_T","H3N2_T","H4N3_T","P(c153 | G=T)=1/576","H2N1_T, H1N4_T, H3N2_T, H4N3_T",796
"506","c292","H3N1_T","H1N2_T","H4N4_T","H2N3_T","P(c292 | G=T)=1/576","H3N1_T, H1N2_T, H4N4_T, H2N3_T",797
"959","c474","H4N2_T","H1N3_T","H2N4_T","H3N1_T","P(c474 | G=T)=1/576","H4N2_T, H1N3_T, H2N4_T, H3N1_T",798
"14","c104","H1N3_T","H4N2_T","H3N4_T","H2N1_T","P(c104 | G=T)=1/576","H1N3_T, H4N2_T, H3N4_T, H2N1_T",799
"1018","c499","H4N2_T","H3N3_T","H2N1_T","H1N4_T","P(c499 | G=T)=1/576","H4N2_T, H3N3_T, H2N1_T, H1N4_T",800
"1233","c64","H1N2_T","H4N1_T","H3N4_T","H2N3_T","P(c64 | G=T)=1/576","H1N2_T, H4N1_T, H3N4_T, H2N3_T",801
"1029","c502","H4N2_T","H3N4_T","H1N3_T","H2N1_T","P(c502 | G=T)=1/576","H4N2_T, H3N4_T, H1N3_T, H2N1_T",802
"528","c297","H3N1_T","H1N4_T","H2N2_T","H4N3_T","P(c297 | G=T)=1/576","H3N1_T, H1N4_T, H2N2_T, H4N3_T",803
"182","c165","H2N1_T","H3N4_T","H1N2_T","H4N3_T","P(c165 | G=T)=1/576","H2N1_T, H3N4_T, H1N2_T, H4N3_T",804
"263","c194","H2N2_T","H3N1_T","H1N4_T","H4N3_T","P(c194 | G=T)=1/576","H2N2_T, H3N1_T, H1N4_T, H4N3_T",805
"605","c329","H3N2_T","H1N3_T","H2N1_T","H4N4_T","P(c329 | G=T)=1/576","H3N2_T, H1N3_T, H2N1_T, H4N4_T",806
"20","c107","H1N3_T","H4N4_T","H3N1_T","H2N2_T","P(c107 | G=T)=1/576","H1N3_T, H4N4_T, H3N1_T, H2N2_T",807
"417","c254","H2N4_T","H1N1_T","H3N3_T","H4N2_T","P(c254 | G=T)=1/576","H2N4_T, H1N1_T, H3N3_T, H4N2_T",808
"746","c382","H3N3_T","H2N4_T","H1N2_T","H4N1_T","P(c382 | G=T)=1/576","H3N3_T, H2N4_T, H1N2_T, H4N1_T",809
"389","c243","H2N3_T","H4N1_T","H3N2_T","H1N4_T","P(c243 | G=T)=1/576","H2N3_T, H4N1_T, H3N2_T, H1N4_T",810
"587","c324","H3N1_T","H4N4_T","H2N3_T","H1N2_T","P(c324 | G=T)=1/576","H3N1_T, H4N4_T, H2N3_T, H1N2_T",811
"43","c113","H1N4_T","H2N2_T","H3N1_T","H4N3_T","P(c113 | G=T)=1/576","H1N4_T, H2N2_T, H3N1_T, H4N3_T",812
"1100","c535","H4N3_T","H3N2_T","H2N1_T","H1N4_T","P(c535 | G=T)=1/576","H4N3_T, H3N2_T, H2N1_T, H1N4_T",813
"765","c388","H3N3_T","H4N1_T","H2N4_T","H1N2_T","P(c388 | G=T)=1/576","H3N3_T, H4N1_T, H2N4_T, H1N2_T",814
"1271","c76","H1N3_T","H2N1_T","H4N4_T","H3N2_T","P(c76 | G=T)=1/576","H1N3_T, H2N1_T, H4N4_T, H3N2_T",815
"324","c218","H2N3_T","H1N1_T","H3N4_T","H4N2_T","P(c218 | G=T)=1/576","H2N3_T, H1N1_T, H3N4_T, H4N2_T",816
"205","c175","H2N1_T","H4N3_T","H3N2_T","H1N4_T","P(c175 | G=T)=1/576","H2N1_T, H4N3_T, H3N2_T, H1N4_T",817
"938","c464","H4N1_T","H3N3_T","H2N4_T","H1N2_T","P(c464 | G=T)=1/576","H4N1_T, H3N3_T, H2N4_T, H1N2_T",818
"450","c271","H2N4_T","H3N2_T","H4N1_T","H1N3_T","P(c271 | G=T)=1/576","H2N4_T, H3N2_T, H4N1_T, H1N3_T",819
"418","c255","H2N4_T","H1N1_T","H4N2_T","H3N3_T","P(c255 | G=T)=1/576","H2N4_T, H1N1_T, H4N2_T, H3N3_T",820
"922","c46","H1N2_T","H2N4_T","H3N3_T","H4N1_T","P(c46 | G=T)=1/576","H1N2_T, H2N4_T, H3N3_T, H4N1_T",821
"320","c216","H2N2_T","H4N4_T","H3N3_T","H1N1_T","P(c216 | G=T)=1/576","H2N2_T, H4N4_T, H3N3_T, H1N1_T",822
"335","c224","H2N3_T","H1N2_T","H4N4_T","H3N1_T","P(c224 | G=T)=1/576","H2N3_T, H1N2_T, H4N4_T, H3N1_T",823
"338","c225","H2N3_T","H1N4_T","H3N1_T","H4N2_T","P(c225 | G=T)=1/576","H2N3_T, H1N4_T, H3N1_T, H4N2_T",824
"104","c138","H1N4_T","H4N2_T","H2N3_T","H3N1_T","P(c138 | G=T)=1/576","H1N4_T, H4N2_T, H2N3_T, H3N1_T",825
"912","c455","H4N1_T","H2N4_T","H3N2_T","H1N3_T","P(c455 | G=T)=1/576","H4N1_T, H2N4_T, H3N2_T, H1N3_T",826
"6","c10","H1N1_T","H2N4_T","H3N3_T","H4N2_T","P(c10 | G=T)=1/576","H1N1_T, H2N4_T, H3N3_T, H4N2_T",827
"362","c230","H2N3_T","H3N1_T","H1N4_T","H4N2_T","P(c230 | G=T)=1/576","H2N3_T, H3N1_T, H1N4_T, H4N2_T",828
"337","c224","H2N3_T","H1N2_T","H4N4_T","H3N1_T","P(c224 | G=T)=1/576","H2N3_T, H1N2_T, H4N4_T, H3N1_T",829
"435","c264","H2N4_T","H1N3_T","H4N2_T","H3N1_T","P(c264 | G=T)=1/576","H2N4_T, H1N3_T, H4N2_T, H3N1_T",830
"194","c171","H2N1_T","H4N2_T","H3N3_T","H1N4_T","P(c171 | G=T)=1/576","H2N1_T, H4N2_T, H3N3_T, H1N4_T",831
"932","c463","H4N1_T","H3N3_T","H2N2_T","H1N4_T","P(c463 | G=T)=1/576","H4N1_T, H3N3_T, H2N2_T, H1N4_T",832
"1030","c502","H4N2_T","H3N4_T","H1N3_T","H2N1_T","P(c502 | G=T)=1/576","H4N2_T, H3N4_T, H1N3_T, H2N1_T",833
"1126","c545","H4N4_T","H1N2_T","H2N1_T","H3N3_T","P(c545 | G=T)=1/576","H4N4_T, H1N2_T, H2N1_T, H3N3_T",834
"164","c158","H2N1_T","H3N2_T","H1N4_T","H4N3_T","P(c158 | G=T)=1/576","H2N1_T, H3N2_T, H1N4_T, H4N3_T",835
"768","c390","H3N3_T","H4N2_T","H1N4_T","H2N1_T","P(c390 | G=T)=1/576","H3N3_T, H4N2_T, H1N4_T, H2N1_T",836
"814","c410","H3N4_T","H2N1_T","H1N3_T","H4N2_T","P(c410 | G=T)=1/576","H3N4_T, H2N1_T, H1N3_T, H4N2_T",837
"57","c117","H1N4_T","H2N3_T","H3N1_T","H4N2_T","P(c117 | G=T)=1/576","H1N4_T, H2N3_T, H3N1_T, H4N2_T",838
"581","c321","H3N1_T","H4N4_T","H1N2_T","H2N3_T","P(c321 | G=T)=1/576","H3N1_T, H4N4_T, H1N2_T, H2N3_T",839
"684","c360","H3N2_T","H4N4_T","H2N3_T","H1N1_T","P(c360 | G=T)=1/576","H3N2_T, H4N4_T, H2N3_T, H1N1_T",840
"1231","c63","H1N2_T","H4N1_T","H3N3_T","H2N4_T","P(c63 | G=T)=1/576","H1N2_T, H4N1_T, H3N3_T, H2N4_T",841
"628","c337","H3N2_T","H2N1_T","H1N3_T","H4N4_T","P(c337 | G=T)=1/576","H3N2_T, H2N1_T, H1N3_T, H4N4_T",842
"723","c373","H3N3_T","H2N1_T","H1N2_T","H4N4_T","P(c373 | G=T)=1/576","H3N3_T, H2N1_T, H1N2_T, H4N4_T",843
"29","c109","H1N4_T","H2N1_T","H3N2_T","H4N3_T","P(c109 | G=T)=1/576","H1N4_T, H2N1_T, H3N2_T, H4N3_T",844
"437","c264","H2N4_T","H1N3_T","H4N2_T","H3N1_T","P(c264 | G=T)=1/576","H2N4_T, H1N3_T, H4N2_T, H3N1_T",845
"1081","c529","H4N3_T","H3N1_T","H1N2_T","H2N4_T","P(c529 | G=T)=1/576","H4N3_T, H3N1_T, H1N2_T, H2N4_T",846
"595","c326","H3N2_T","H1N1_T","H2N4_T","H4N3_T","P(c326 | G=T)=1/576","H3N2_T, H1N1_T, H2N4_T, H4N3_T",847
"1123","c543","H4N4_T","H1N1_T","H3N2_T","H2N3_T","P(c543 | G=T)=1/576","H4N4_T, H1N1_T, H3N2_T, H2N3_T",848
"849","c429","H3N4_T","H4N3_T","H1N1_T","H2N2_T","P(c429 | G=T)=1/576","H3N4_T, H4N3_T, H1N1_T, H2N2_T",849
"819","c413","H3N4_T","H2N2_T","H1N1_T","H4N3_T","P(c413 | G=T)=1/576","H3N4_T, H2N2_T, H1N1_T, H4N3_T",850
"566","c315","H3N1_T","H4N2_T","H2N3_T","H1N4_T","P(c315 | G=T)=1/576","H3N1_T, H4N2_T, H2N3_T, H1N4_T",851
"1172","c563","H4N4_T","H2N3_T","H3N1_T","H1N2_T","P(c563 | G=T)=1/576","H4N4_T, H2N3_T, H3N1_T, H1N2_T",852
"1125","c544","H4N4_T","H1N1_T","H3N3_T","H2N2_T","P(c544 | G=T)=1/576","H4N4_T, H1N1_T, H3N3_T, H2N2_T",853
"11","c102","H1N3_T","H4N2_T","H2N4_T","H3N1_T","P(c102 | G=T)=1/576","H1N3_T, H4N2_T, H2N4_T, H3N1_T",854
"567","c315","H3N1_T","H4N2_T","H2N3_T","H1N4_T","P(c315 | G=T)=1/576","H3N1_T, H4N2_T, H2N3_T, H1N4_T",855
"719","c372","H3N3_T","H1N4_T","H4N2_T","H2N1_T","P(c372 | G=T)=1/576","H3N3_T, H1N4_T, H4N2_T, H2N1_T",856
"1226","c61","H1N2_T","H4N1_T","H2N3_T","H3N4_T","P(c61 | G=T)=1/576","H1N2_T, H4N1_T, H2N3_T, H3N4_T",857
"353","c23","H1N1_T","H3N4_T","H4N2_T","H2N3_T","P(c23 | G=T)=1/576","H1N1_T, H3N4_T, H4N2_T, H2N3_T",858
"892","c445","H4N1_T","H2N2_T","H1N3_T","H3N4_T","P(c445 | G=T)=1/576","H4N1_T, H2N2_T, H1N3_T, H3N4_T",859
"1152","c552","H4N4_T","H1N3_T","H3N2_T","H2N1_T","P(c552 | G=T)=1/576","H4N4_T, H1N3_T, H3N2_T, H2N1_T",860
"1236","c64","H1N2_T","H4N1_T","H3N4_T","H2N3_T","P(c64 | G=T)=1/576","H1N2_T, H4N1_T, H3N4_T, H2N3_T",861
"364","c232","H2N3_T","H3N1_T","H4N4_T","H1N2_T","P(c232 | G=T)=1/576","H2N3_T, H3N1_T, H4N4_T, H1N2_T",862
"170","c16","H1N1_T","H3N2_T","H4N4_T","H2N3_T","P(c16 | G=T)=1/576","H1N1_T, H3N2_T, H4N4_T, H2N3_T",863
"380","c239","H2N3_T","H3N4_T","H4N1_T","H1N2_T","P(c239 | G=T)=1/576","H2N3_T, H3N4_T, H4N1_T, H1N2_T",864
"67","c121","H1N4_T","H3N1_T","H2N2_T","H4N3_T","P(c121 | G=T)=1/576","H1N4_T, H3N1_T, H2N2_T, H4N3_T",865
"1079","c529","H4N3_T","H3N1_T","H1N2_T","H2N4_T","P(c529 | G=T)=1/576","H4N3_T, H3N1_T, H1N2_T, H2N4_T",866
"91","c132","H1N4_T","H3N3_T","H4N2_T","H2N1_T","P(c132 | G=T)=1/576","H1N4_T, H3N3_T, H4N2_T, H2N1_T",867
"1181","c566","H4N4_T","H3N1_T","H1N3_T","H2N2_T","P(c566 | G=T)=1/576","H4N4_T, H3N1_T, H1N3_T, H2N2_T",868
"159","c157","H2N1_T","H3N2_T","H1N3_T","H4N4_T","P(c157 | G=T)=1/576","H2N1_T, H3N2_T, H1N3_T, H4N4_T",869
"549","c307","H3N1_T","H2N3_T","H4N2_T","H1N4_T","P(c307 | G=T)=1/576","H3N1_T, H2N3_T, H4N2_T, H1N4_T",870
"1128","c545","H4N4_T","H1N2_T","H2N1_T","H3N3_T","P(c545 | G=T)=1/576","H4N4_T, H1N2_T, H2N1_T, H3N3_T",871
"1065","c522","H4N3_T","H2N2_T","H1N4_T","H3N1_T","P(c522 | G=T)=1/576","H4N3_T, H2N2_T, H1N4_T, H3N1_T",872
"1135","c547","H4N4_T","H1N2_T","H3N1_T","H2N3_T","P(c547 | G=T)=1/576","H4N4_T, H1N2_T, H3N1_T, H2N3_T",873
"200","c174","H2N1_T","H4N3_T","H1N4_T","H3N2_T","P(c174 | G=T)=1/576","H2N1_T, H4N3_T, H1N4_T, H3N2_T",874
"885","c442","H4N1_T","H1N4_T","H2N3_T","H3N2_T","P(c442 | G=T)=1/576","H4N1_T, H1N4_T, H2N3_T, H3N2_T",875
"32","c110","H1N4_T","H2N1_T","H3N3_T","H4N2_T","P(c110 | G=T)=1/576","H1N4_T, H2N1_T, H3N3_T, H4N2_T",876
"1220","c59","H1N2_T","H3N4_T","H4N1_T","H2N3_T","P(c59 | G=T)=1/576","H1N2_T, H3N4_T, H4N1_T, H2N3_T",877
